IndicatorCode,IndicatorName
M_svy_yr_youth,Year of survey of youth
MALARIA001,Malaria - number of reported deaths
GDO_q8x2_5,Availability of palliative and end-of-life care services in community for dementia
MALARIA004,Number of under-five deaths from malaria
MDG_0000000001,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births)
MDG_0000000005,Contraceptive prevalence (%)
MDG_0000000018,Deaths due to tuberculosis among HIV-positive people (per 100 000 population)
MDG_0000000019,Prevalence of HIV among adults aged >=15 years (per 100 000 population)
GDO_q8x2_6,Availability of social and financial protection for dementia
GDO_q8x3_5,"Accessibility of palliative and end-of-life care services in community for dementia [Capital/capital and main cities/capital, main cities, rural areas]"
GDO_q8x4_2,"Majority provider of behaviour and psychological management in community for dementia [public, private]"
GDO_q8x4_4,"Majority provider of activities of daily living support services in community for dementia [public, private]"
NTD_LEISHVEND,Status of endemicity of visceral leishmaniasis
NTD_LEPR11,Number of female leprosy new cases
NTD_LEPR2,New leprosy case detection rate per 1 000 000 population
NTD_LEPR8,Leprosy - Number of new leprosy cases among children (less than 15 years of age)
NTD_LEPR9,Number of new leprosy cases with G2D among children (less than 15 years of age)
NTD_ONCHSTATUS,Status of endemicity of onchocerciasis
NTD_ONCTREAT,Reported number of individuals treated for onchocerciasis
NTD_PINTASTATUS,Status of pinta endemicity
NTD_RAB2,Reported number of human rabies deaths
NTD_TSOL2,Presence of porcine cysticercosis
GDO_q4x1x2,Existence of approved government dementia standards/ guidelines/ protocols
GDO_q4x2_3,Existence of standards/ guidelines/ protocols for management of dementia
GDO_q4x3x4_3,Existence of standards/ guidelines/ protocols of care in nursing & residential care facilities for people with dementia
GDO_q5x1x1_1,Identification of different sectors in dementia care coordination  (Health)
GDO_q5x1x1_4,Identification of different sectors in dementia care coordination (Employment)
MDG_0000000020,Incidence of tuberculosis (per 100 000 population per year)
GDO_q8x4_5,"Majority provider of palliative and end-of-life care services in community for dementia [public, private]"
GDO_q8x4_6,"Majority provider of social and financial protection for dementia [public, private]"
GDO_q8x5_3,Estimated number of people receiving psychosocial and rehabilitation services in community for dementia
GDO_q9_1,Dementia care facilities [hospitals]
NCD_CCS_rheumreg,Existence of a register of patients who had rheumatic fever and rheumatic heart disease
NCD_CCS_Steroid,General availability of steroid inhalers in the public health sector
NCD_GLUC_04,Raised fasting blood glucose (>=7.0 mmol/L) (age-standardized estimate)
NCD_PAC,Prevalence of insufficient physical activity among adults aged 18+ years (crude estimate) (%)
NCD_UNDER70,Premature deaths due to noncommunicable diseases (NCD) as a proportion of all NCD deaths
NHABASIS,Basis for NHA estimate
GDO_q5x1x1_8,Identification of different sectors in dementia care coordination (Private sector)
NUTOVERWEIGHTNUM,"Overweight numbers among children under 5 years of age (millions), model-based estimates"
NUTRITION_2005,Proportion of children aged 6-23 months who receive a minimum acceptable diet
NUTRITION_579,Exclusive breastfeeding under 6 months (%)
MDG_0000000010,Median availability of selected generic medicines (%) - Public
MDG_0000000013,Children aged <5 years sleeping under insecticide-treated nets (%)
MDG_0000000017,Deaths due to tuberculosis among HIV-negative people (per 100 000 population)
MDG_0000000022,Tuberculosis detection rate under DOTS (%)
MDG_0000000025,Births attended by skilled health personnel (%)
NUTRITION_WH_3,"Severe wasted prevalence among children under 5 years of age   (% weight-for-height <-3 SD), survey-based estimates"
NTD_TSOL4,Practice of backyard pig production
NTD_YAWSNUM,Number of cases of yaws reported
GDO_q8x4_3,"Majority provider of psychosocial and rehabilitation services in community for dementia [public, private]"
GDO_q8x5_2,Estimated number of people receiving behaviour and psychological management services in community for dementia
NUTUNDERWEIGHTNUM,"Underweight numbers among children under 5 years of age (millions), model-based estimates"
NUTUNDERWEIGHTPREV,"Underweight prevalence among children under 5 years of age (%), model-based estimates"
O_Avail_community,Treatment for tobacco dependence available in the community
GDO_q8x5_5,Estimated number of people receiving palliative and end-of-life care services in community for dementia
O_Avail_hosp,Treatment for tobacco dependence available in hospitals
GDO_q8x5_4,Estimated number of people receiving activities of daily living support services in community for dementia
GDO_q8x5_6,Estimated number of people with dementia receiving social and financial protection for dementia
GDO_q9_2,Care facilities [long-term care]
GDO_q9_4,Adult day centres
GDO_q9x1_4,"Geriatric-specific hospital beds (per 10,000 population)"
GDO_q9x2_3,"Dementia-specific residential long-term care beds (per 10,000 population)"
GDO_q9x2_4,Estimated number of people with dementia living in residential long-term care
MALARIA002,Estimated number of malaria cases
MALARIA005,Malaria incidence per 100 000 population
MDG_0000000003,Adolescent birth rate (per 1000 women)
MDG_0000000005_AGE1519,"Contraceptive prevalence, among girls aged 15-19 (%)"
MDG_0000000015,Prevalence of condom use by adults during higher-risk sex (15-49) (%)
MDG_0000000021,Population aged 15-24 years with comprehensive correct knowledge of HIV/AIDS (%)
MDG_0000000024,Tuberculosis treatment success under DOTS (%)
MDG_0000000026,Maternal mortality ratio (per 100 000 live births)
NUTOVERWEIGHTPREV,"Overweight prevalence among children under 5 years of age (% weight-for-height >+2 SD), model-based estimates"
NUTRITION_564,Children aged <5 years wasted for age (%)
NUTRITION_ANT_HAZ_NE2,"Stunting prevalence among children under 5 years of age (% height-for-age <-2 SD), survey-based estimates"
GDO_q9x4_2,"Adult day centre places (per 10,000 population)"
GDO_q9x6_1,"Density of outpatient social centres (per 100,000 population)"
GHE_YLLNUM,Years of life lost from mortality (YLLs)
GDO_q9_3,Care facilities [hospice centres]
GDO_q9_5,Outpatient health centres
GDO_q9x1_3,"Dementia-specific hospital beds (per 10,000 population)"
GDO_q9x1_5,"Total dementia hospital admissions (per 100,000)"
GDO_q9x1_7,Estimated percentage of hospitals following national dementia standards
GDO_q9x2_1,"Density of residential long-term care facilities (per 100,000 population)"
NUTSEVWASTINGNUM,"Severe wasted numbers among children under 5 years of age (millions), model-based estimates"
NUTSTUNTINGNUM,"Stunting numbers among children under 5 years of age (millions), model-based estimates"
O_Avail_other,Treatment for tobacco dependence available in other settings
GDO_q5x1x1_other,Identification of different sectors in dementia care coordination (Other)
GDO_q6x1_3,"Number of geriatricians or psychogeriatricians (per 100,000)"
GDO_q6x2_2,Inclusion of basic dementia competencies in training of specialists
GDO_q8x1,Existence of community-based health or social care services for dementia
GDO_q8x2_4,Availability of activities of daily living support services in community for dementia
GDO_q8x3_1,"Accessibility of diagnostic services in community for dementia [Capital/capital and main cities/capital, main cities, rural areas]"
NTCP_curr,Reported currency
NTCP_govt_exp,Annual budget for tobacco control in currency reported
NTD_2,Dracunculiasis certification status of countries at the beginning of the year
NTD_6,Status of elimination of trachoma as a public health problem
NTD_8,Number of people who received treatment with antibiotics for trachoma
NTD_BEJELSTATUS,Status of bejel endemicity
NTD_DRACASES,Dracunculiasis cases
NTD_LEISHCEND,Status of endemicity of cutaneous leishmaniasis
NTD_LEISHCNUM_IM,Number of imported cases of cutaneous leishmaniasis reported
NTD_LEISHVNUM,Number of cases of visceral leishmaniasis reported
NTD_LEISHVNUM_IM,Number of imported cases of visceral leishmaniasis reported
M_Est_cig_curr_crude,"Current cigarette smoking, crude adjusted"
O_Bup_ins,Bupropion - cost covered
MDG_0000000033,Antiretroviral therapy coverage among people with HIV infection eligible for ART according to 2010 guidelines (%)
RSUD_71,Essential list of medicines
RSUD_72,"Essential list of medicines, pharmacotherapy for substance use disorders"
RSUD_74,Budget line for substance use disorder prevention
RSUD_75,Funding method for substance use disorder prevention
RSUD_750,Standards of care for professionals providing treatment for alcohol and drug use disorders
M_Est_cig_daily,Estimate of daily cigarette smoking prevalence (%)
M_smkless_age_range_youth,Youth survey age range - smokeless
M_smkless_svy_national_youth,Representativeness of survey of youth - smokeless
M_survey_title_adult,Name of survey of adults
M_svy_national_youth,Representativeness of youth survey
M_svy_yr_adult,Year of latest adult prevalence survey
MALARIA003,Estimated number of malaria deaths
MCV2,Measles-containing-vaccine second-dose (MCV2) immunization coverage by the nationally recommended age (%)
GDO_q8x3_6,"Accessibility of social and financial protection for dementia [Capital/capital and main cities/capital, main cities, rural areas]"
RSUD_77,Programmes for the prevention of substance use disorders for special populations
RSUD_770,Postgraduate training programme in prevention
RSUD_8,Epidemiological data collection system for substance use disorders
RSUD_81,Clinical supervision of health care staff
RSUD_810,Continuing professional development in treatment
RSUD_820,Epidemiological data collection for substance use
RSUD_83,"Standards of care for health professionals, maintenance"
NUTRITION_WA_2,"Underweight prevalence among children under 5 years of age   (% weight-for-age <-2 SD), survey-based estimates"
O_Avail_hlth_clin,Treatment for tobacco dependence available in health clinics or other primary care facilities
GDO_q9x5_1,"Density of outpatient health centres (per 100,000 population)"
GDO_q9x5_2,Estimated number of people with dementia receiving services at outpatient health centre
GHE_YLDNUM,Years of healthy life lost due to disability (YLDs)
GDO_q9x2_2,Residential long-term care beds (per 10 000 population)
GDO_q9x3_1,"Density of hospice centres (per 100,000 population)"
GDO_q9x3_2,Hospice centre beds (per 10 000 population)
GDO_q9x3_3,"Dementia-specific hospice care beds (per 10,000 population)"
GHE_YLLRATE,Years of life lost from mortality (YLLs) (per 100 000 population)
GHED_CHE_pc_PPP_SHA2011,Current health expenditure (CHE) per capita in PPP int$
MDG_0000000034,"Antiretroviral therapy coverage among people with advanced HIV infection (%), WHO 2006 guidelines"
RSUD_710,Employment services for drug use disorders
RSUD_720,Open access interventions for alcohol
RSUD_73,Government unit for substance use disorder prevention
GHED_EXT_pc_US_SHA2011,External health expenditure (EXT) per capita in US$
GHED_GGHE-D_pc_US_SHA2011,Domestic general government health expenditure (GGHE-D) per capita in US$
GHED_GGHE-DGGE_SHA2011,Domestic general government health expenditure (GGHE-D) as percentage of general government expenditure (GGE) (%)
O_Ins_community,Treatment for tobacco dependence in the community cost covered
O_Ins_hlth_clin,Treatment for tobacco dependence in health clinics or other primary care facilities cost covered
RSUD_740,Health professionals providing treatment for alcohol and drug use disorders
RSUD_79,Harm reduction programmes for IDUs
RSUD_80,Health professionals mostly involved in treatment of substance use disorders
RSUD_82,Standards of care for health professionals
GHE_DALYNUM,Disability-adjusted life years (DALYs)
GHE_DALYRATE,Disability-adjusted life years (DALYs) (per 100 000 population)
GHE_YLDRATE,Years of healthy life lost due to disability (YLDs) (per 100 000 population)
OA_DMFT,"Decayed, missing, or filled teeth"
obesewm,"Obesity prevalence in non-pregnant women aged 15-49 years, BMI >= 30 (%)"
OCC_11,Occupational carcinogens attributable deaths per 100'000 capita
OCC_16,Occupational ergonomic stressors attributable DALYs ('000)
O_Avail_off_hlth_prof,Treatment for tobacco dependence available in offices of health professionals
O_Bup_where,Bupropion - place available
O_Ins_hosp,Treatment for tobacco dependence in hospitals cost covered
O_Ins_other,Treatment for tobacco dependence in other settings cost covered
O_NRT_EML,Nicotine replacement therapy on the Essential Medicines List
O_NRT_sold,Nicotine replacement therapy - legally sold
O_Quitline,Access to a toll-free quit line
O_Varen_ins,Varenicline - cost covered
O_Varen_sold,Varenicline - legally sold
OCC_17,Occupational ergonomic stressors attributable deaths per 100'000 capita
OCC_20,Occupational injuries attributable DALYs ('000)
OCC_22,Occupational injuries attributable DALYs per 100'000 capita
RSUD_86,NGOs for drug use disorders
MDG_0000000025_AGE1519,"Births attended by skilled health personnel, among girls aged 15-19 (%)"
MDG_0000000027,Children aged <5 years stunted (%)
MDG_0000000031,Smear-positive tuberculosis treatment-success rate (%)
MDG_0000000032,Maternal mortality ratio (per 100 000 live births) - Country reported estimates
GHED_EXTCHE_SHA2011,External health expenditure (EXT) as percentage of current health expenditure (CHE) (%)
GHED_GGHE-DCHE_SHA2011,Domestic general government health expenditure (GGHE-D) as percentage of current health expenditure (CHE) (%)
GHED_OOPSCHE_SHA2011,Out-of-pocket expenditure as percentage of current health expenditure (CHE) (%)
RSUD_89,Opioid agonist pharmacotherapy for the treatment of opioid dependence (maintenance)
RSUD_890,Treatment programmes for children and adolescents with alcohol use disorders
SA_0000001398,"Alcohol, consumption of pure alcohol by type of beverage (%)"
SA_0000001400_ARCHIVED,"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)"
RSUD_760,Educational attainment in prevention
RSUD_78,Screening and brief interventions for substance use and substance use disorders
GOE_Q001,National universal health coverage strategy
GOE_Q003,National eHealth strategy
GOE_Q006,National  health information system (HIS) policy or strategy
RSUD_830,Service delivery data collection for substance use
RSUD_780,Continuing professional development in prevention
RSUD_790,Educational attainment in treatment
RSUD_860,System of monitoring drugs involvement in forensic pathology
RSUD_88,Groups and agencies for the prevention of substance use disorders
RSUD_880,Epidemiological data collection system for substance use among children and adolescents
RSUD_900,Treatment programmes for children and adolescents with drug use disorders
O_Bup_sold,Bupropion - legally sold
O_Ins_off_hlth_prof,Treatment for tobacco dependence in offices of health professionals cost covered
O_NRT_where,Nicotine replacement therapy - place available
OCC_1,Occupational risk factors attributable deaths
OCC_10,Occupational carcinogens attributable DALYs ('000)
OCC_12,Occupational carcinogens attributable DALYs per 100'000 capita
OCC_13,Occupational noise attributable DALYs ('000)
OCC_14,Occupational noise attributable DALYs per 100'000 capita
OCC_18,Occupational ergonomic stressors attributable DALYs per 100'000 capita
OCC_19,Occupational injuries attributable deaths
OCC_2,Occupational risk factors attributable DALYs ('000)
OCC_21,Occupational injuries attributable deaths per 100'000 capita
OCC_3,Occupational risk factors attributable deaths per 100'000 capita
OCC_4,Occupational risk factors attributable DALYs per 100'000 capita
GHED_GGHE-D_pc_PPP_SHA2011,Domestic general government health expenditure (GGHE-D) per capita in PPP int$
GHED_GGHE-DGDP_SHA2011,Domestic general government health expenditure (GGHE-D) as percentage of gross domestic product (GDP) (%)
GHED_OOP_pc_PPP_SHA2011,Out-of-pocket expenditure (OOP) per capita in PPP int$
GHED_OOP_pc_US_SHA2011,Out-of-pocket expenditure (OOP) per capita in US$
GHED_PVT-D_pc_US_SHA2011,Domestic private health expenditure (PVT-D) per capita in US$
GDO_q8x4_1,"Majority provider of diagnostic services in community for dementia [public, private]"
GDO_q9_6,Outpatient social centres
MDG_0000000006_AGE1519,"Unmet need for family planning, among girls aged 15-19 (%)"
MDG_0000000007,Under-five mortality rate (probability of dying by age 5 per 1000 live births)
MDG_0000000011,Median consumer price ratio of selected generic medicines - Public
MDG_0000000014,Children aged <5 years with fever who received treatment with any antimalarial (%)
MDG_0000000016,Deaths due to malaria (per 100 000 population)
MDG_0000000023,Prevalence of tuberculosis (per 100 000 population)
MDG_0000000029,Prevalence of HIV among adults aged 15 to 49 (%)
NTD_TSOL3,Number of pigs in the country
NTD_YAWSEND,Status of yaws endemicity
NUTRITION_570,Early initiation of breastfeeding (%)
NUTRITION_ANT_WHZ_NE2,"Overweight prevalence among children under 5 years of age (% weight-for-height >+2 SD), survey-based estimates"
NUTRITION_WH_2,"Wasting prevalence among children under 5 years of age (% weight-for-height <-2 SD), survey-based estimates"
NUTSEVWASTINGPREV,"Severe wasted prevalence among children under 5 years of age (%), model-based estimates"
NUTSTUNTINGPREV,"Stunting prevalence among children under 5 years of age (% height-for-age <-2 SD), model-based estimates"
NUTWASTINGNUM,"Wasted numbers among children under 5 years of age (millions), model-based estimates"
NUTWASTINGPREV,"Wasted prevalence among children under 5 years of age (%), model-based estimates"
O_Avail_hlthSPACEclin,Treatment for tobacco dependence available in health clinics or other primary care facilities
GOE_Q010,Public-private partnerships for eHealth
GOE_Q012,Proportion of public funding
GOE_Q015,Proportion ofpublic private partnerships funding
OCC_8,Occupational airborne particulates attributable DALYs per 100'000 capita
ORGANKIDNEYNUM,Kidney transplants (absolute number)
ORGANTOTALNUM,Total organs transplanted (absolute number)
ors,Children aged < 5 years with diarrhoea receiving oral rehydration salts (%)
ODA_3,"Donor disbursements (Million, constant 2009 US$)"
ODA_4,"Disbursements to recipient countries (Million, constant 2009 US$)"
ORGANLIVERNUM,Liver transplants (absolute number)
SA_0000001401_ARCHIVED,"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol), three-year average"
SA_0000001402,"Alcohol, estimate of five-year change in recorded per capita (15+) consumption 2006-2010"
ORGANTOTALRATE,Total organs transplanted (per million)
overwgt5,Overweight prevalence in children aged <five years (%)
P_Group,Protecting people from tobacco smoke
P1_compliance,Compliance of ban on smoking in HEALTH-CARE FACILITIES
P12_fines_establishment,National smoking ban: FINES ON THE ESTABLISHMENT
P14_funds_for_enforce,National smoking ban: DEDICATED FUNDS FOR ENFORCEMENT
GHED_PVT-DCHE_SHA2011,Domestic private health expenditure (PVT-D) as percentage of current health expenditure (CHE) (%)
GOE_Q002,strategy refers to the use of ICT to support UHC
GOE_Q004,National eHealth strategy refers to objectives of UHC
GOE_Q013,Proportion of private funding
GOE_Q018,Tertiary institutions provide students of health sciences with training on eHealth
P3_compliance,Compliance of ban on smoking in UNIVERSITIES
P3_universities,National smoking ban in UNIVERSITIES
P6_compliance,Compliance of ban on smoking in RESTAURANTS
P6_restaurants,National smoking ban in RESTAURANTS
P7_compliance,Compliance of ban on smoking in PUBS AND BARS
P_count_places_sf,National smoking ban: NUMBER OF PLACES SMOKE-FREE
GOE_Q030_1,Regulating mobile devices and software
GOE_Q022,Institutions offer in-service training to health professionals on ICT for health
GOE_Q030_2,Promoting standards and interoperability
GOE_Q030_5,Promoting the development and adoption of mHealth
GOE_Q032,Providing incentives and guidance for innovation research and evaluation of health
OCC_6,Occupational airborne particulates attributable DALYs ('000)
OCC_7,Occupational airborne particulates attributable deaths per 100'000 capita
OCC_9,Occupational carcinogens attributable deaths
P8_pub_transp,National smoking ban in PUBLIC TRANSPORT
PCV3,Pneumoccocal conjugate vaccines (PCV3) immunization coverage among 1-year-olds (%)
GOE_Q008,Private funding for eHealth
GOE_Q009,Donor/ non-public development funding for eHealth
GOE_Q017,Government-supported health internet sites provide information in multiple languages
GOE_Q028,mHealth programmes are sponsored by government
GOE_Q060,Effectiveness
GOE_Q062,Demand
GOE_Q064,Policy
ORGANTOTALDECRATE,Total actual deceased donors (per million)
ort,Children aged < 5 years with diarrhoea receiving oral rehydration therapy and continued feeding (%)
overwgt3,Overweight prevalence in children aged <three years (%)
GOE_Q031,"Regulatory oversight of mobile apps for quality, safety and reliability"
GOE_Q047,Government-sponsored mHealth programmes are being evaluated
GOE_Q065,Priorities
GOE_Q103,eLearning is used in pre-service education to teach health sciences students
GOE_Q104_1,Reducing cost of delivering content
GOE_Q119_2,Improving access to content and experts
GOE_Q119_3,Enabling access to education where learning facilities are limited
SA_0000001404_ARCHIVED,"Alcohol, drinkers only per capita (15+)consumption in litres of pure alcohol"
SA_0000001409,"Alcohol, abstainers lifetime (%), age-standardized"
SA_0000001410,"Abstainers (15-19 years), lifetime (%)"
SA_0000001411,"Alcohol, abstainers past 12 months (%), age-standardized"
SA_0000001404,"Alcohol, drinkers only per capita (15+) consumption in litres of pure alcohol, three-year average"
SA_0000001406_ARCHIVED,"Alcohol, unrecorded per capita (15+) consumption (in litres of pure alcohol)"
SA_0000001409_ARCHIVED,"Alcohol, abstainers lifetime (%)"
SA_0000001411_ARCHIVED,"Alcohol, abstainers past 12 months (%)"
SA_0000001412,"Abstainers (15-19 years), past 12 months (%)"
SA_0000001416,"Alcohol, heavy episodic drinking (15+), drinkers only, past 30 days (%), age-standardized"
O_Group,Offering help to quit tobacco use
O_NRT_ins,Nicotine replacement therapy - cost covered
O_Varen_where,Varenicline - place available
GDO_q9x2_5,Estimated percentage of residential long-term care facilities following national dementia standards
GDO_q9x4_1,"Density of adult day centres (per 100,000 population)"
GDO_q9x4_3,"Dementia-specific adult day centre places (per 10,000 population)"
GDO_q9x6_2,Estimated number of people with dementia receiving services at outpatient social centre
GHED_CHE_pc_US_SHA2011,Current health expenditure (CHE) per capita in US$
GHED_CHEGDP_SHA2011,Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%)
GHED_EXT_pc_PPP_SHA2011,External health expenditure (EXT) per capita in PPP int$
MDG_0000000030,Smear-positive tuberculosis case-detection rate (%)
RSUD_730,Open access interventions for drugs
RSUD_76,"Prevention activities for substance use disorders, main focus"
RSUD_800,Postgraduate training programme in treatment
RSUD_84,"Standards of care for health professionals, human rights"
P1_healthcare,National smoking ban in HEALTH-CARE FACILITIES
P11_fines_any,National smoking ban: FINES FOR VIOLATIONS
SA_0000001405_ARCHIVED,"Alcohol, tourist consumption (in litres of pure alcohol)"
SA_0000001406,"Alcohol, unrecorded per capita (15+) consumption (in litres of pure alcohol)"
RSUD_840,Regular reports on epidemiological and service delivery data for substance use
RSUD_85,NGOs for alcohol use disorders
RSUD_850,System of monitoring alcohol involvement in forensic pathology
RSUD_87,Self-help groups for substance use disorders
RSUD_870,Epidemiological data collection system for substance use among children and adolescents
RSUD_9,Service delivery data collection system for substance use disorders
SA_0000001398_ARCHIVED,"Alcohol, consumption of pure alcohol by type of beverage (%)"
SA_0000001400,"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol), by beverage type"
SA_0000001414,"Alcohol, former drinkers (%), age-standardized"
SA_0000001415_ARCHIVED,"Alcohol, heavy episodic drinking (population) past 30 days (%)"
SA_0000001416_ARCHIVED,"Alcohol, heavy episodic drinking (15+), drinkers only, past 30 days (%)"
SA_0000001419,"Age-standardized DALYs, breast cancer, per 100,000"
SA_0000001422,"Age-standardized DALYs, drownings, per 100,000"
GOE_Q133,Lack of funding
GOE_Q135,Lack of evidence that eLearning is effective
GOE_Q137,Lack of demand for eLearning programmes
GOE_Q140,Competing educational priorities
GOE_Q159,Lack of legislation or regulations covering use of EHR
GOE_Q162,Competing health system priorities
GOE_Q170,To protect privacy of personally identifiable data of individuals irrespective of whether it is paper or digital format
P4_govt,National smoking ban in GOVERNMENT FACILITIES
P5_compliance,Compliance of ban on smoking in INDOOR OFFICES
P9_all_other,National smoking ban in ALL OTHER INDOOR PUBLIC PLACES
PC_sfe_compliance,Compliance with regulations on smoke-free environments (national legislation)
GOE_Q174,Which allows for the sharing of personal and health data between research entities
GOE_Q176,Which allows individuals to demand that their own data be corrected  when held in an EHR if it is known to be inaccurate
SA_0000001413,"Alcohol, consumers past 12 months (%), age-standardized"
SA_0000001414_ARCHIVED,"Alcohol, former drinkers (%)"
SA_0000001417,"Alcohol, patterns of drinking score"
SA_0000001417_ARCHIVED,"Alcohol, patterns of drinking score"
P5_indoor_off,National smoking ban in INDOOR OFFICES
P7_pubs,National smoking ban in PUBS AND BARS
pncall3,Postnatal care visit within two days of birth (in the three years preceding the survey) (%)
pnchome,Postnatal care visit within two days of birth - born outside a health facility (in the x years preceding the survey) (%)
PerctreatedANC,"Antenatal care attendees positive for syphilis who received treatment (%), reported"
pncall5,Postnatal care visit within two days of birth (in the five years preceding the survey) (%)
GOE_Q134,Not possible to gain a health sciences degree entirely through eLearning
GOE_Q136,Lack of evidence over cost-effectiveness
poliov,Polio immunization coverage among one-year-olds (%)
GOE_Q057,Capacity
GOE_Q109,Pre-service eLearning programmes have been evaluated
GOE_Q158,Lack of demand by health professionals and patients
GOE_Q161,Lack of national or international standards for interoperability of EHR
GOE_Q168,"To define medical jurisdiction, liability or reimbursement of eHealth services such as telehealth"
GOE_Q169,"To address patient safety and quality of care based on data quality, data transmission standards, or clinical competency criteria"
GOE_Q172,Which governs the sharing of digital data between health professionals in other health services in the same country through the use of an EHR
SA_0000001418,"Age-standardized DALYs, alcohol use disorders, per 100,000"
SA_0000001424,"Age-standardized DALYs, fires, per 100,000"
SA_0000001425,"Age-standardized DALYs, ischaemic heart disease, per 100,000"
SA_0000001434,"Age-standardized DALYs, self-inflicted injury, per 100,000"
SA_0000001439,"Age-standardized death rates, colon and rectum cancers, per 100,000"
SA_0000001401,"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol), three-year average"
SA_0000001402_ARCHIVED,"Alcohol, estimate of five-year change in recorded per capita (15+) consumption 2006-2010"
SA_0000001403,"Alcohol, total (recorded 3 year average + unrecorded) per capita (15+) consumption (in litres of pure alcohol)"
SA_0000001403_ARCHIVED,"Alcohol, total (recorded 3 year average + unrecorded) per capita (15+) consumption (in litres of pure alcohol)"
OCC_15,Occupational ergonomic stressors attributable deaths
OCC_5,Occupational airborne particulates attributable deaths
ODA_1,"Donor commitments (Million, constant 2009 US$)"
ODA_2,"Commitments to recipient countries (Million, constant 2009 US$)"
ORGANKIDNEYRATE,Kidney transplants (per million)
ORGANLIVERRATE,Liver transplants (per million)
ORGANPOP,Population (millions)
ORGANTOTALDECNUM,Total actual deceased donors (absolute number)
GOE_Q119_1,Reducing cost of delivering content
GOE_Q122,eLearning programmes for in-service training of health professionals have been evaluated
GOE_Q131,Lack of capacity
GOE_Q138,Lack of suitable courses available
GOE_Q139,Insitutional educational policy does not include eLearning as an approach to teaching health sciences
GHED_PVT-D_pc_PPP_SHA2011,Domestic private health expenditure (PVT-D) per capita in PPP int$
GOE_Q007,Public funding for eHealth
GOE_Q011,Strategy implementation funding available for eHealth
R_admin_duty_free_limited,Tax administration: Bans or limits on duty free imports by travellers
R_afford_price_dispersion,Tobacco tax structure: Price dispersion: Share of cheapest brand price in premium brand price (%) (the higher the % the smaller the gap)
R_afford_tax_auto_adjust,Tobacco tax structure: Specific tax component automatically adjusted for inflation (or other)
GOE_Q014,Proportion of donor/non public development funding
P10_subnat_auth_exists,Subnational smoking bans - authority exists
P13_fines_smoker,National smoking ban: FINES ON THE PATRON
SA_0000001426,"Age-standardized DALYs, liver cancer, per 100,000"
SA_0000001444,"Age-standardized death rates, ischaemic heart disease, per 100,000"
SA_0000001445,"Age-standardized death rates, liver cancer, per 100,000"
pnchome3,Postnatal care visit within two days of birth - born outside a health facility (in the three years preceding the survey) (%)
R_Ad_val_estimate,Most sold brand of cigarettes - taxes as a % of price - ad valorem excise
R_admin_tax_stamps,Tax administration: Tax stamps applied on tobacco products
R_excise_incr,Tobacco excises increased over the survey period
R_excise_retail_price_base,Tax structure: Retail price used as base of ad valorem component in ad valorem or mixed excise regime (or retail price exclusive of VAT)
SA_0000001433,"Age-standardized DALYs, road traffic accidents, per 100,000"
SA_0000001437,"Age-standardized death rates, alcohol use disorders, per 100,000"
SA_0000001438,"Age-standardized death rates, breast cancer, per 100,000"
SA_0000001442,"Age-standardized death rates, falls, per 100,000"
R_afford_gdp,Affordability - percentage of GDP per capita required to purchase 2000 cigarettes of the most sold brand
SA_0000001450,"Age-standardized death rates, poisoning, per 100,000"
SA_0000001451,"Age-standardized death rates, prematurity and low birth rate, per 100,000"
SA_0000001446,"Age-standardized death rates, liver cirrhosis, per 100,000"
SA_0000001448,"Age-standardized death rates, mouth and oropharynx cancer, per 100,000"
SA_0000001453,"Age-standardized death rates, self-inflicted injury, per 100,000"
SA_0000001455,"Age-standardized death rates, violence, per 100,000"
GOE_Q144,Country has national EHR
GOE_Q146,Country has specific legislation governing the use of national EHR system
GOE_Q154,Lack of infrastructure
R_Curr_lowest_cost,Cheapest brand of cigarettes - currency reported
R_excise_min_specific,Tax structure: Minimum specific tax applied in ad valorem or mixed excise regime
R_excise_proportion,Tax structure: Excise tax proportion of price
R_Group,Raising taxes on tobacco
GOE_Q160,National strategy does not promote the adoption of EHR
GOE_Q173,Which governs the sharing of digital data between health professionals  in health services in other countries through the use of an EHR
SA_0000001429,"Age-standardized DALYs, mouth and oropharynx cancer, per 100,000"
SA_0000001449,"Age-standardized death rates, oesophagus cancer, per 100,000"
SA_0000001458,"Age-standardized death rates (15+ years), poisoning, per 100,000"
GOE_Q198,Effective standards and best practices for data capture not fully established
SA_0000001720,Restrictions on product placement in films/movies
SA_0000001721,Importance of measures for enhancing compliance with age limits
P15_complaints,National smoking ban: CITIZEN COMPLAINTS AND INVESTIGATIONS
P16_subnat_complete_bans_exist,Comprehensive bans in place subnationally
P2_compliance,Compliance of ban on smoking in EDUCATIONAL FACILITIES EXCEPT UNIVERSITIES
P2_education,National smoking ban in EDUCATIONAL FACILITIES EXCEPT UNIVERSITIES
P4_compliance,Compliance of ban on smoking in GOVERNMENT FACILITIES
P8_compliance,Compliance of ban on smoking in PUBLIC TRANSPORT
